fecha_pedido,fecha_envio,modo_envio,nombre_cliente,segmento_cliente,ciudad,estado,region,departamento_producto,tipo_producto,precio_base,precio_unit_sin_desc,descuento,precio_unit_venta,cantidad_pedido,total_venta,total_ganancia
2022-07-17,2022-07-19,Económico,Bianca Campos,B2C,Brasília,Distrito Federal,Centro-Oeste,Ropa,Jeans,122.2,142.74,0.15,121.33,2,242.66,-1.740000000000009
2020-09-26,2020-10-01,Entrega estándar,Nicole Gomes,B2C,Teixeira de Freitas,Bahia,Noreste,Ropa,Zapatillas,1047.76,1183.91,0.0,1183.91,3,3551.7300000000005,408.4500000000007
2021-01-17,2021-01-21,Económico,Melissa da Rosa,B2C,Rio de Janeiro,Rio de Janeiro,Sureste,Electrónicos,Lámparas LED,16.21,22.0,0.1,19.8,2,39.6,7.18
2021-01-17,2021-01-21,Económico,Melissa da Rosa,B2C,Rio de Janeiro,Rio de Janeiro,Sureste,Electrónicos,Smartphones,95.97,102.65,0.0,102.65,3,307.95000000000005,20.040000000000077
2020-09-18,2020-09-22,Entrega estándar,Felipe Rodrigues,B2C,Brasília,Distrito Federal,Centro-Oeste,Ropa,Camisetas,1902.04,1996.89,0.25,1497.67,7,10483.69,-2830.5899999999983
2020-09-18,2020-09-22,Entrega estándar,Felipe Rodrigues,B2C,Brasília,Distrito Federal,Centro-Oeste,Electrónicos,Lámparas LED,22.35,25.15,0.35,16.35,2,32.7,-12.0
2020-09-18,2020-09-22,Entrega estándar,Felipe Rodrigues,B2C,Brasília,Distrito Federal,Centro-Oeste,Ropa,Vestidos,131.96,156.4,0.1,140.76,3,422.28,26.399999999999977
2020-09-18,2020-09-22,Entrega estándar,Felipe Rodrigues,B2C,Brasília,Distrito Federal,Centro-Oeste,Productos de Limpieza,Limpiacristales,4.61,6.17,0.1,5.55,2,11.1,1.879999999999999
2020-09-18,2020-09-22,Entrega estándar,Felipe Rodrigues,B2C,Brasília,Distrito Federal,Centro-Oeste,Productos de Limpieza,Limpiador de inodoros,46.16,54.33,0.1,48.9,6,293.4,16.439999999999998
2020-09-18,2020-09-22,Entrega estándar,Felipe Rodrigues,B2C,Brasília,Distrito Federal,Centro-Oeste,Electrónicos,Lámparas LED,5.51,5.98,0.35,3.89,6,23.34,-9.720000000000002
2020-09-18,2020-09-22,Entrega estándar,Felipe Rodrigues,B2C,Brasília,Distrito Federal,Centro-Oeste,Productos de Limpieza,Limpiador de inodoros,23.78,29.77,0.1,26.79,2,53.58,6.019999999999996
2022-10-20,2022-10-24,Económico,Benjamin Moura,B2B,Belo Horizonte,Minas Gerais,Sureste,Productos de Limpieza,Bolsas de basura,27.76,37.11,0.1,33.4,3,100.19999999999999,16.919999999999987
2020-12-28,2021-01-01,Entrega estándar,Luiz Henrique Rezende,B2B,Belo Horizonte,Minas Gerais,Sureste,Productos de Limpieza,Limpiacristales,36.12,47.57,0.1,42.81,9,385.29,60.210000000000036
2020-12-28,2021-01-01,Entrega estándar,Luiz Henrique Rezende,B2B,Belo Horizonte,Minas Gerais,Sureste,Ropa,Camisetas,630.01,718.32,0.16,603.39,3,1810.17,-79.8599999999999
2020-12-28,2021-01-01,Entrega estándar,Luiz Henrique Rezende,B2B,Belo Horizonte,Minas Gerais,Sureste,Ropa,Jeans,248.92,282.74,0.15,240.33,3,720.99,-25.769999999999982
2020-12-28,2021-01-01,Entrega estándar,Luiz Henrique Rezende,B2B,Belo Horizonte,Minas Gerais,Sureste,Electrónicos,Cámaras digitales,297.75,350.54,0.1,315.49,4,1261.96,70.96000000000004
2022-09-11,2022-09-16,Entrega estándar,Maria Eduarda Rodrigues,B2B,Botucatu,São Paulo,Sureste,Electrónicos,Cámaras digitales,118.06,138.99,0.1,125.09,4,500.36,28.120000000000005
2021-07-18,2021-07-23,Entrega estándar,Heitor Silveira,B2B,Rio de Janeiro,Rio de Janeiro,Sureste,Productos de Limpieza,Papel higiénico,129.08,132.4,0.0,132.4,2,264.8,6.639999999999986
2021-03-12,2021-03-14,Envío rápido,Kaique Aragão,B2B,Balneário Camboriú,Santa Catarina,Sur,Electrónicos,Smartphones,61.36,78.17,0.0,78.17,2,156.34,33.620000000000005
2021-03-12,2021-03-14,Envío rápido,Kaique Aragão,B2B,Balneário Camboriú,Santa Catarina,Sur,Electrónicos,Lámparas LED,22.7,29.68,0.0,29.68,2,59.36,13.96
2019-10-21,2019-10-26,Económico,Lara Pinto,B2C,Itapevi,São Paulo,Sureste,Productos de Limpieza,Papel higiénico,176.56,180.16,0.0,180.16,4,720.64,14.399999999999977
2021-06-21,2021-06-26,Entrega estándar,Alexandre Vieira,B2C,São José dos Pinhais,Paraná,Sur,Electrónicos,Smartphones,48.2,51.0,0.0,51.0,3,153.0,8.399999999999977
2021-06-21,2021-06-26,Entrega estándar,Alexandre Vieira,B2C,São José dos Pinhais,Paraná,Sur,Electrónicos,Cámaras digitales,31.87,37.06,0.0,37.06,2,74.12,10.380000000000003
2021-12-12,2021-12-18,Entrega estándar,Diego Nascimento,B2B,São Paulo,São Paulo,Sureste,Productos de Limpieza,Cepillos de baño,5.89,7.41,0.0,7.41,7,51.870000000000005,10.640000000000008
2021-12-12,2021-12-18,Entrega estándar,Diego Nascimento,B2B,São Paulo,São Paulo,Sureste,Electrónicos,Cámaras digitales,598.81,700.37,0.0,700.37,5,3501.85,507.8000000000002
2021-06-18,2021-06-19,Envío rápido,João Pedro Silveira,B2C,Maringá,Paraná,Sur,Productos de Limpieza,Papel higiénico,103.41,118.18,0.0,118.18,6,709.08,88.62
2021-06-18,2021-06-19,Envío rápido,João Pedro Silveira,B2C,Maringá,Paraná,Sur,Productos de Limpieza,Bolsas de basura,16.74,22.03,0.0,22.03,5,110.15,26.450000000000017
2021-06-18,2021-06-19,Envío rápido,João Pedro Silveira,B2C,Maringá,Paraná,Sur,Ropa,Jeans,214.79,228.63,0.05,217.2,5,1086.0,12.049999999999955
2021-06-18,2021-06-19,Envío rápido,João Pedro Silveira,B2C,Maringá,Paraná,Sur,Productos de Limpieza,Bolsas de basura,18.81,24.75,0.0,24.75,2,49.5,11.880000000000003
2021-06-18,2021-06-19,Envío rápido,João Pedro Silveira,B2C,Maringá,Paraná,Sur,Electrónicos,Smartphones,48.2,51.0,0.0,51.0,2,102.0,5.599999999999994
2021-06-18,2021-06-19,Envío rápido,João Pedro Silveira,B2C,Maringá,Paraná,Sur,Electrónicos,Lámparas LED,34.25,45.79,0.1,41.21,4,164.84,27.840000000000003
2021-06-18,2021-06-19,Envío rápido,João Pedro Silveira,B2C,Maringá,Paraná,Sur,Productos de Limpieza,Limpiador de inodoros,4.28,5.71,0.0,5.71,1,5.71,1.4299999999999997
2020-11-25,2020-12-01,Entrega estándar,Caroline Cavalcanti,B2C,Rio de Janeiro,Rio de Janeiro,Sureste,Electrónicos,Smartphones,18.54,23.76,0.0,23.76,2,47.52,10.440000000000005
2020-11-25,2020-12-01,Entrega estándar,Caroline Cavalcanti,B2C,Rio de Janeiro,Rio de Janeiro,Sureste,Electrónicos,Lámparas LED,11.98,16.26,0.1,14.63,6,87.78,15.900000000000006
2020-11-25,2020-12-01,Entrega estándar,Caroline Cavalcanti,B2C,Rio de Janeiro,Rio de Janeiro,Sureste,Productos de Limpieza,Bolsas de basura,127.21,166.29,0.0,166.29,3,498.87,117.24000000000001
2020-11-25,2020-12-01,Entrega estándar,Caroline Cavalcanti,B2C,Rio de Janeiro,Rio de Janeiro,Sureste,Ropa,Vestidos,58.3,67.8,0.0,67.8,4,271.2,38.0
2020-05-01,2020-05-06,Entrega estándar,Ana Beatriz Souza,B2B,Manaus,Amazonas,Norte,Ropa,Jeans,150.09,170.49,0.15,144.92,5,724.5999999999999,-25.850000000000136
2019-12-06,2019-12-11,Entrega estándar,Vitor Hugo Dias,B2B,Imperatriz,Maranhão,Noreste,Productos de Limpieza,Limpiador de inodoros,449.38,525.6,0.1,473.04,8,3784.32,189.2800000000002
2019-12-06,2019-12-11,Entrega estándar,Vitor Hugo Dias,B2B,Imperatriz,Maranhão,Noreste,Electrónicos,Cámaras digitales,116.0,158.63,0.1,142.77,4,571.08,107.08000000000004
2021-06-05,2021-06-07,Envío rápido,Gustavo Henrique Almeida,B2C,Goiânia,Goiás,Centro-Oeste,Productos de Limpieza,Bolsas de basura,98.68,129.0,0.0,129.0,2,258.0,60.639999999999986
2021-09-19,2021-09-24,Entrega estándar,Alexandre Mendes,B2C,São Paulo,São Paulo,Sureste,Electrónicos,Lámparas LED,12.75,17.43,0.1,15.69,1,15.69,2.9399999999999995
2022-09-15,2022-09-18,Económico,Felipe Rodrigues,B2C,São Gonçalo,Rio de Janeiro,Sureste,Productos de Limpieza,Bolsas de basura,16.62,21.59,0.0,21.59,3,64.77,14.909999999999997
2020-04-27,2020-05-03,Entrega estándar,Renan Santos,B2C,Mogi das Cruzes,São Paulo,Sureste,Ropa,Jeans,377.88,392.86,0.1,353.57,8,2828.56,-194.48000000000002
2020-04-27,2020-05-03,Entrega estándar,Renan Santos,B2C,Mogi das Cruzes,São Paulo,Sureste,Ropa,Vestidos,163.94,183.3,0.1,164.97,2,329.94,2.0600000000000023
2020-04-27,2020-05-03,Entrega estándar,Renan Santos,B2C,Mogi das Cruzes,São Paulo,Sureste,Productos de Limpieza,Papel higiénico,278.41,274.97,0.1,247.47,1,247.47,-30.940000000000026
2022-12-10,2022-12-12,Envío rápido,Marcela da Conceição,B2B,Belo Horizonte,Minas Gerais,Sureste,Electrónicos,Lámparas LED,2.51,2.35,0.4,1.41,3,4.2299999999999995,-3.3
2022-12-10,2022-12-12,Envío rápido,Marcela da Conceição,B2B,Belo Horizonte,Minas Gerais,Sureste,Ropa,Vestidos,14.3,15.71,0.3,11.0,3,33.0,-9.900000000000006
2022-12-10,2022-12-12,Envío rápido,Marcela da Conceição,B2B,Belo Horizonte,Minas Gerais,Sureste,Productos de Limpieza,Papel higiénico,29.33,34.3,0.1,30.87,3,92.61,4.6200000000000045
2019-11-27,2019-12-02,Económico,Renan Santos,B2C,Belo Horizonte,Minas Gerais,Sureste,Ropa,Vestidos,18.05,18.74,0.3,13.12,5,65.6,-24.650000000000006
2021-06-13,2021-06-16,Envío rápido,João Lucas Rocha,B2B,Florianópolis,Santa Catarina,Sur,Productos de Limpieza,Ambientador en spray,612.2,707.74,0.0,707.74,1,707.74,95.53999999999996
2021-06-13,2021-06-16,Envío rápido,João Lucas Rocha,B2B,Florianópolis,Santa Catarina,Sur,Electrónicos,Lámparas LED,14.42,18.97,0.0,18.97,3,56.91,13.649999999999999
2019-10-13,2019-10-17,Entrega estándar,Mariane Costa,B2C,Salvador,Bahia,Noreste,Productos de Limpieza,Limpiador de inodoros,8.71,10.13,0.0,10.13,5,50.650000000000006,7.100000000000001
2019-10-13,2019-10-17,Entrega estándar,Mariane Costa,B2C,Salvador,Bahia,Noreste,Productos de Limpieza,Papel higiénico,62.19,72.73,0.0,72.73,1,72.73,10.540000000000006
2020-09-04,2020-09-09,Entrega estándar,Sarah Oliveira,B2B,Timon,Maranhão,Noreste,Productos de Limpieza,Limpiacristales,82.37,108.47,0.1,97.62,7,683.34,106.75
2022-11-14,2022-11-17,Envío rápido,Ana Beatriz Barros,B2B,Manaus,Amazonas,Norte,Productos de Limpieza,Papel higiénico,288.83,290.1,0.1,261.09,3,783.27,-83.22000000000003
2022-05-29,2022-05-31,Económico,Lara Pinto,B2C,Maceió,Alagoas,Noreste,Ropa,Jeans,485.1,513.33,0.0,513.33,2,1026.66,56.460000000000036
2022-10-27,2022-11-03,Entrega estándar,Benício da Mota,B2C,São José dos Campos,São Paulo,Sureste,Electrónicos,Smartphones,56.41,67.97,0.0,67.97,1,67.97,11.560000000000002
2022-10-27,2022-11-03,Entrega estándar,Benício da Mota,B2C,São José dos Campos,São Paulo,Sureste,Productos de Limpieza,Toallitas desinfectantes,7.96,10.47,0.0,10.47,2,20.94,5.020000000000001
2021-04-06,2021-04-11,Económico,Vicente Novaes,B2B,Belo Horizonte,Minas Gerais,Sureste,Productos de Limpieza,Papel higiénico,73.56,85.47,0.1,76.92,7,538.44,23.519999999999982
2021-09-18,2021-09-23,Entrega estándar,João Lucas Ramos,B2B,Rio de Janeiro,Rio de Janeiro,Sureste,Productos de Limpieza,Limpiador de inodoros,19.02,22.78,0.0,22.78,3,68.34,11.280000000000001
2021-09-18,2021-09-23,Entrega estándar,João Lucas Ramos,B2B,Rio de Janeiro,Rio de Janeiro,Sureste,Electrónicos,Cámaras digitales,118.06,139.0,0.1,125.1,2,250.2,14.079999999999984
2021-09-18,2021-09-23,Entrega estándar,João Lucas Ramos,B2B,Rio de Janeiro,Rio de Janeiro,Sureste,Productos de Limpieza,Bolsas de basura,16.74,22.03,0.0,22.03,1,22.03,5.290000000000003
2020-02-01,2020-02-06,Económico,Juan da Conceição,B2C,Petrolina,Pernambuco,Noreste,Productos de Limpieza,Bolsas de basura,16.74,22.03,0.0,22.03,2,44.06,10.580000000000005
2020-02-01,2020-02-06,Económico,Juan da Conceição,B2C,Petrolina,Pernambuco,Noreste,Ropa,Vestidos,51.08,60.45,0.0,60.45,3,181.35000000000002,28.110000000000014
2020-02-01,2020-02-06,Económico,Juan da Conceição,B2C,Petrolina,Pernambuco,Noreste,Electrónicos,Lámparas LED,42.3,56.03,0.0,56.03,2,112.06,27.460000000000008
2022-11-07,2022-11-13,Entrega estándar,Fernando Farias,B2B,Itaquaquecetuba,São Paulo,Sureste,Electrónicos,Lámparas LED,25.76,29.72,0.35,19.32,1,19.32,-6.440000000000001
2022-11-10,2022-11-12,Económico,Vicente Nogueira,B2B,São Paulo,São Paulo,Sureste,Ropa,Vestidos,37.04,46.89,0.0,46.89,7,328.23,68.95000000000005
2022-06-18,2022-06-21,Envío rápido,Arthur Cavalcanti,B2C,Salvador,Bahia,Noreste,Electrónicos,Lámparas LED,47.98,64.61,0.1,58.15,3,174.45,30.50999999999999
2021-08-30,2021-09-03,Entrega estándar,Alícia da Mota,B2B,Manaus,Amazonas,Norte,Productos de Limpieza,Bolsas de basura,25.9,34.88,0.1,31.39,7,219.73000000000002,38.430000000000035
2021-08-30,2021-09-03,Entrega estándar,Alícia da Mota,B2B,Manaus,Amazonas,Norte,Electrónicos,Smartphones,114.89,120.86,0.1,108.77,3,326.31,-18.360000000000014
2021-08-30,2021-09-03,Entrega estándar,Alícia da Mota,B2B,Manaus,Amazonas,Norte,Electrónicos,Lámparas LED,3.75,3.38,0.4,2.03,3,6.09,-5.16
2021-12-02,2021-12-05,Económico,Kevin das Neves,B2C,São José dos Campos,São Paulo,Sureste,Productos de Limpieza,Bolsas de basura,15.35,20.33,0.0,20.33,4,81.32,19.919999999999995
2020-11-14,2020-11-18,Entrega estándar,João Guilherme da Conceição,B2C,Duque de Caxias,Rio de Janeiro,Sureste,Electrónicos,Smartphones,142.99,150.42,0.1,135.38,6,812.28,-45.66000000000008
2020-11-14,2020-11-18,Entrega estándar,João Guilherme da Conceição,B2C,Duque de Caxias,Rio de Janeiro,Sureste,Ropa,Vestidos,118.18,128.9,0.1,116.01,3,348.03000000000003,-6.509999999999991
2020-11-14,2020-11-18,Entrega estándar,João Guilherme da Conceição,B2C,Duque de Caxias,Rio de Janeiro,Sureste,Electrónicos,Lámparas LED,56.43,64.31,0.35,41.8,3,125.39999999999999,-43.89
2022-11-24,2022-11-29,Entrega estándar,Maria Vitória Silveira,B2C,Santo André,São Paulo,Sureste,Electrónicos,Smartphones,27.76,35.0,0.1,31.5,8,252.0,29.919999999999987
2022-11-24,2022-11-29,Entrega estándar,Maria Vitória Silveira,B2C,Santo André,São Paulo,Sureste,Electrónicos,Cámaras digitales,91.6,105.74,0.1,95.17,1,95.17,3.5700000000000074
2022-11-24,2022-11-29,Entrega estándar,Maria Vitória Silveira,B2C,Santo André,São Paulo,Sureste,Productos de Limpieza,Limpiador de inodoros,9.41,12.48,0.1,11.23,1,11.23,1.8200000000000003
2022-12-26,2022-12-31,Entrega estándar,Caio Oliveira,B2B,São Paulo,São Paulo,Sureste,Ropa,Vestidos,62.06,71.33,0.0,71.33,2,142.66,18.539999999999992
2019-08-26,2019-08-28,Económico,Fernando da Cunha,B2C,Curitiba,Paraná,Sur,Productos de Limpieza,Cepillos de baño,7.97,10.82,0.1,9.74,14,136.36,24.780000000000015
2019-08-26,2019-08-28,Económico,Fernando da Cunha,B2C,Curitiba,Paraná,Sur,Productos de Limpieza,Limpiacristales,6.62,8.91,0.1,8.02,2,16.04,2.799999999999999
2019-08-26,2019-08-28,Económico,Fernando da Cunha,B2C,Curitiba,Paraná,Sur,Productos de Limpieza,Bolsas de basura,22.93,30.19,0.1,27.17,3,81.51,12.720000000000013
2019-08-26,2019-08-28,Económico,Fernando da Cunha,B2C,Curitiba,Paraná,Sur,Productos de Limpieza,Limpiacristales,61.45,82.14,0.1,73.93,6,443.58000000000004,74.88
2020-03-03,2020-03-07,Entrega estándar,Paulo Farias,B2C,Fortaleza,Ceará,Noreste,Ropa,Zapatillas,798.82,892.53,0.0,892.53,3,2677.59,281.1300000000001
2020-04-06,2020-04-11,Entrega estándar,Igor Sales,B2B,Americana,São Paulo,Sureste,Electrónicos,Lámparas LED,733.22,825.38,0.35,536.5,1,536.5,-196.72000000000003
2021-06-13,2021-06-16,Envío rápido,Catarina Duarte,B2C,Macapá,Amapá,Norte,Ropa,Vestidos,42.92,53.31,0.0,53.31,3,159.93,31.170000000000016
2021-06-13,2021-06-16,Envío rápido,Catarina Duarte,B2C,Macapá,Amapá,Norte,Electrónicos,Lámparas LED,20.31,26.22,0.0,26.22,4,104.88,23.64
2021-06-13,2021-06-16,Envío rápido,Catarina Duarte,B2C,Macapá,Amapá,Norte,Productos de Limpieza,Papel higiénico,110.41,128.38,0.0,128.38,6,770.28,107.81999999999994
2021-06-13,2021-06-16,Envío rápido,Catarina Duarte,B2C,Macapá,Amapá,Norte,Productos de Limpieza,Limpiacristales,33.68,43.45,0.0,43.45,9,391.05,87.93
2021-06-13,2021-06-16,Envío rápido,Catarina Duarte,B2C,Macapá,Amapá,Norte,Electrónicos,Cámaras digitales,28.26,33.05,0.0,33.05,7,231.34999999999997,33.529999999999944
2019-12-27,2019-12-29,Económico,Ana Sophia Teixeira,B2B,Belo Horizonte,Minas Gerais,Sureste,Ropa,Jeans,685.49,800.74,0.15,680.63,3,2041.8899999999999,-14.580000000000382
2019-09-21,2019-09-26,Entrega estándar,Maria Julia Nogueira,B2C,Parnamirim,Rio Grande do Norte,Noreste,Ropa,Zapatillas,465.54,466.71,0.25,350.03,6,2100.18,-693.0600000000004
2022-11-06,2022-11-13,Entrega estándar,Pedro da Luz,B2C,Campo Grande,Mato Grosso do Sur,Centro-Oeste,Electrónicos,Lámparas LED,5.61,6.25,0.35,4.06,2,8.12,-3.1000000000000014
2022-11-06,2022-11-13,Entrega estándar,Pedro da Luz,B2C,Campo Grande,Mato Grosso do Sur,Centro-Oeste,Productos de Limpieza,Papel higiénico,111.1,131.68,0.1,118.51,7,829.57,51.87000000000012
2021-11-07,2021-11-11,Económico,André da Mota,B2B,Rio de Janeiro,Rio de Janeiro,Sureste,Ropa,Jeans,146.2,153.8,0.1,138.42,2,276.84,-15.560000000000002
2021-11-07,2021-11-11,Económico,André da Mota,B2B,Rio de Janeiro,Rio de Janeiro,Sureste,Ropa,Vestidos,255.5,270.37,0.0,270.37,3,811.11,44.610000000000014
2022-02-03,2022-02-06,Envío rápido,Renan Carvalho,B2B,Curitiba,Paraná,Sur,Electrónicos,Cámaras digitales,44.86,50.98,0.2,40.78,5,203.9,-20.400000000000006
2022-02-03,2022-02-06,Envío rápido,Renan Carvalho,B2B,Curitiba,Paraná,Sur,Productos de Limpieza,Bolsas de basura,108.16,147.91,0.1,133.12,2,266.24,49.920000000000016
2022-02-03,2022-02-06,Envío rápido,Renan Carvalho,B2B,Curitiba,Paraná,Sur,Productos de Limpieza,Cepillos de baño,6.79,9.01,0.1,8.11,9,72.99,11.879999999999995
2021-10-14,2021-10-20,Entrega estándar,Lucas Azevedo,B2C,Piracicaba,São Paulo,Sureste,Productos de Limpieza,Bolsas de basura,17.26,22.71,0.0,22.71,3,68.13,16.349999999999994
2021-10-14,2021-10-20,Entrega estándar,Lucas Azevedo,B2C,Piracicaba,São Paulo,Sureste,Productos de Limpieza,Bolsas de basura,92.18,120.5,0.0,120.5,1,120.5,28.319999999999993
2021-10-14,2021-10-20,Entrega estándar,Lucas Azevedo,B2C,Piracicaba,São Paulo,Sureste,Productos de Limpieza,Limpiador de inodoros,8.32,9.79,0.0,9.79,4,39.16,5.8799999999999955
2021-10-14,2021-10-20,Entrega estándar,Lucas Azevedo,B2C,Piracicaba,São Paulo,Sureste,Productos de Limpieza,Cepillos de baño,5.16,6.84,0.0,6.84,2,13.68,3.3599999999999994
2021-10-14,2021-10-20,Entrega estándar,Lucas Azevedo,B2C,Piracicaba,São Paulo,Sureste,Electrónicos,Lámparas LED,71.23,95.92,0.1,86.33,3,258.99,45.30000000000001
2021-10-14,2021-10-20,Entrega estándar,Lucas Azevedo,B2C,Piracicaba,São Paulo,Sureste,Productos de Limpieza,Detergente para platos,32.1,37.33,0.0,37.33,6,223.98,31.379999999999967
2021-10-14,2021-10-20,Entrega estándar,Lucas Azevedo,B2C,Piracicaba,São Paulo,Sureste,Ropa,Vestidos,7.96,10.47,0.0,10.47,14,146.58,35.140000000000015
2021-09-06,2021-09-08,Económico,Breno Farias,B2B,Brasília,Distrito Federal,Centro-Oeste,Ropa,Vestidos,131.96,156.4,0.1,140.76,2,281.52,17.599999999999966
2022-09-19,2022-09-24,Entrega estándar,Enrico Teixeira,B2B,Salvador,Bahia,Noreste,Productos de Limpieza,Limpiador de inodoros,8.65,10.0,0.0,10.0,3,30.0,4.049999999999997
2022-09-19,2022-09-24,Entrega estándar,Enrico Teixeira,B2B,Salvador,Bahia,Noreste,Productos de Limpieza,Limpiacristales,9.41,12.31,0.0,12.31,3,36.93,8.7
2022-09-19,2022-09-24,Entrega estándar,Enrico Teixeira,B2B,Salvador,Bahia,Noreste,Productos de Limpieza,Bolsas de basura,123.77,162.86,0.0,162.86,3,488.58000000000004,117.27000000000004
2020-09-08,2020-09-13,Entrega estándar,Vinicius da Costa,B2C,Joinville,Santa Catarina,Sur,Productos de Limpieza,Papel higiénico,321.47,326.37,0.0,326.37,7,2284.59,34.30000000000018
2019-10-23,2019-10-29,Entrega estándar,Calebe Monteiro,B2B,Campinas,São Paulo,Sureste,Ropa,Vestidos,74.32,88.68,0.1,79.81,4,319.24,21.960000000000036
2021-12-06,2021-12-10,Entrega estándar,Gabriela Pires,B2B,Serra,Espírito Santo,Sureste,Electrónicos,Cámaras digitales,102.79,118.83,0.0,118.83,11,1307.1299999999999,176.43999999999983
2021-12-06,2021-12-10,Entrega estándar,Gabriela Pires,B2B,Serra,Espírito Santo,Sureste,Electrónicos,Cámaras digitales,166.57,169.97,0.0,169.97,3,509.90999999999997,10.199999999999989
2021-12-06,2021-12-10,Entrega estándar,Gabriela Pires,B2B,Serra,Espírito Santo,Sureste,Ropa,Jeans,705.1,829.53,0.0,829.53,8,6636.24,995.4399999999996
